Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
200-15-5-1;200;15;5;4;168;6;177;212
200-15-5-2;200;15;5;4;103;6;83;114
200-15-5-3;200;15;5;3;30;3;38;63
200-15-5-4;200;15;5;3;76;8;102;133
200-15-5-5;200;15;5;5;69;6;78;114
200-15-5-6;200;15;5;8;0;13;0;24
200-15-5-7;200;15;5;7;54;10;73;112
200-15-5-8;200;15;5;2;192;2;185;214
200-15-5-9;200;15;5;3;140;4;158;214
300-5-0-0;300;5;0;7;378;12;379;443
300-5-0-1;300;5;0;12;244;22;271;345
300-5-0-2;300;5;0;3;408;11;461;611
300-5-0-3;300;5;0;6;397;9;433;530
300-5-0-4;300;5;0;9;389;15;402;481
300-5-0-5;300;5;0;9;170;15;215;293
300-5-0-6;300;5;0;11;403;19;376;471
300-5-0-7;300;5;0;9;419;16;446;559
300-5-0-8;300;5;0;4;416;4;477;554
300-5-0-9;300;5;0;8;333;18;317;346
300-5-2-0;300;5;2;11;354;18;368;439
300-5-2-1;300;5;2;5;388;7;396;483
300-5-2-2;300;5;2;13;226;24;250;332
300-5-2-3;300;5;2;3;333;10;394;482
300-5-2-4;300;5;2;8;354;12;336;395
300-5-2-5;300;5;2;2;414;9;443;525
300-5-2-6;300;5;2;9;233;15;313;452
300-5-2-7;300;5;2;7;498;12;597;786
300-5-2-8;300;5;2;8;371;14;405;519
300-5-2-9;300;5;2;12;443;23;373;458
300-5-5-0;300;5;5;4;314;10;415;474
300-5-5-1;300;5;5;12;322;19;308;427
300-5-5-2;300;5;5;16;152;30;145;239
300-5-5-3;300;5;5;3;326;4;332;387
300-5-5-4;300;5;5;4;244;4;307;429
300-5-5-5;300;5;5;11;422;33;365;397
300-5-5-6;300;5;5;7;305;12;322;413
300-5-5-7;300;5;5;4;332;13;370;405
300-5-5-8;300;5;5;9;373;17;401;490
300-5-5-9;300;5;5;10;407;18;410;527
300-10-0-0;300;10;0;3;405;9;414;522
300-10-0-1;300;10;0;4;455;12;571;496
